Index,Reviews,movie_name,emotion
0,laughs overall motivation characters incomprehensible mad men cheating sleep sorts married men hypocritical lives messed messed stupid choices empathy women,Waiting to Exhale,anticipation
1,waiting exhale waiting waiting waiting waiting get point waiting exhale forrest whitakers take terry mcmillans popular book rather popular following upon release 1995 packaged brilliantly crossing popular music scene blockbuster soundtrack featuring star whitney houston however leonard maltin said beautifully film ultimately reminds one much easy listening jazz plays nearly every scenewaiting exhale potential interesting movie features nice ensemble manages good chemistry also allowing certain performers step limelight really dominate certain scenes unfortunately end movie repetitive droneit tells story four africanamerican females played angela bassett whitney houston loretta divine lela rochon struggle find men life satisfy needs problem world movie men nothing complete assholes wouldnt know word feelings looked dictionary film possibly go anywhere screenwriters made men incredibly unredeemable nothing changefor first 45 minutes film slightly enjoyable however continues 2 hour plus running time begins feel like dejavu women keep putting identical situations theyve experienced past much talk slowsultry voiceovers dont seem learn squatits like soundtrack music slightly soothing enjoyable easy digest slow pointless listen long waiting exhale end nothing boringly pointless film wastes potential cast film given focal point distinct narrative line perhaps could good film everyone board apparently missed memo films better plot purpose,Waiting to Exhale,anticipation
2,angela basset good expected whitney range actress screenplay also neglected portray film greatness novel instead promoting sisterhood emphasized caninequalities men read book rent soul food instead,Waiting to Exhale,anticipation
3,movie okay mediocre might even word describe say really tell act cant angela bassett brilliant portrayal angry heart broken wife whilst whitney housten seems rather emotionless throughout film im saying shes singerfurthermore dont understand black movies include explicit sex mean normal amount good much dont mean frequency way sex portrayed bad feed thriving stereotypes black people arent necessarily true,Waiting to Exhale,anticipation
4,got opportunity see waiting exhale second time recently first time shortly came cant say time improved thoughts film odd seemed recall really enjoying first time came maybe watch homeward bound loved movie first time saw actress really impress movie course amazing angela bassett growls hisses every chance gets really liked character felt trials going character liked one played loretta devine cute overweight mother unexpectedly falls love kind thought lela rachon character underwritten seemed almost revel wantonness lol miss houston watching act well chesty morgans performance deadly weapons came mind odd reason appears acting thing becoming struggle wasnt going last long wasnt really disappointed film slid,Waiting to Exhale,anticipation
5,movie story quite good wholems bassett leading best actressfor surei get charactershes beautiful guess shes blown people away beauty ease fascinatesms houston neglect neithershe looks natural oneand despite little experience far actress career concernedshe good even though story bit common loretta divineanywaysthis motion picture merely goodtheres nothing amazingand dont stand moviesthe thing makes stick screen complicity crude humor men four ladies,Waiting to Exhale,anticipation
6,good movie even though im target audience nice see black women movie thanks star power whitney houston became no1 big hit actually tired reading little comments saying whitney isnt good actress comments based fact shes singer wasnt famous singer nobody would say anything bad acting imo acted well like movies shes oscar caliber actress definitely screen presence charisma gets job done stop hating shes singer unlike madonna mariah whitney least quality work quality people hasnt flops horrible movies,Waiting to Exhale,anticipation
7,movie truly bound appealing women men touching story four best friends stick together grow together lifes mistakes joys bad taste men love angela bassett outstanding movie 3 ladies whitneylela loretta great jobs movie filled sweet moments great laughter maybe tears wonderful movie shows friendship read book heard many times book better hey thats true almost every book turned movie know love movie every time watch gives great pleasure mention soundtrack fabulous whitney brandy babyfacefaith evansand mary j blige make music film absolutely great,Waiting to Exhale,anticipation
8,really tried watch movie open mind ever since watching diane keaton first wives club fell love brilliant actress somewhat strange individual makes compelling sad part even save movie really enjoyed first father bride found one almost annoying movie predictable humorless steve martin disappointingso sad,Father of the Bride Part II,sadness
9,original father bride spencer tracey really good comedy remake starring steve martin good sweetnatured amiable enough comedy dont really think sequel necessary mean whole premise basically george banks martin grasp reality daughter married come grips fact shes baby nice twist wife played diane keaton also pregnant nevertheless still basically first film one form anotherthankfully doesnt seem like total cashin like many sequels sort certain charm first film still remarkably entertaining considered tell made solely success first film even martin short back another extended cameo franz wedding manager course may wondering hes involved pregnancy since business weddings heres hint studiomartin basically thing first film weary upperclass guy feels overwhelmed state things diane keaton still sweet likable wife rest cast including macaulays little brother kieran culkin range ok good martin short however yet standout funny wasnt necessary plot funny good addition movie regardlessoverall id say one sequels didnt need made could lot worse sweet got good litecomedy moments general enjoyable family movie isnt trying anything simple entertainment,Father of the Bride Part II,sadness
10,much want rag movie make fun call kinds names belittle mock otherwise totally trash cant one reason steve martin mr martin saves movie cinematic oblivion allows movie survive function prosper proof actor save sorry script raise level story make movie watchable mr martin proves arguably finest comedy actor today take dumbest line make sound brilliant take insipid scene raise level comedy drama kudos steve martin sterling performance star diane keaton performance wonderful mr martin carries movie proves star,Father of the Bride Part II,sadness
11,sequel immensely likable father bride father bride part ii welldone sequel enjoyable well emotionalfather bride part ii synopsis george banks must accept reality daughters ascension daughter wife mother means placed perspective stage life father bride part ii worthy sequel wonderful prequel characters still appeal humor works emotional moments heartfelt well nancy meyers charles shyers screenplay genuinely welldone charles shyers direction otherhand good cinematography editing fairperformancewise steve martin lovable reprises part lovingpossessive dad commendably diane keaton flawless yet kimberly williamspaisley cute george newbern sincere kieran culkin adequate martin short entertainson whole father bride part ii satisfying sequel,Father of the Bride Part II,sadness
12,sequels gothis film isnt badi didnt think ti quite good first onebut bad efforti didnt find funnyand steve martins histrionics old seem forced bit mereallythis one doesnt quite sincerity firstthrough much moviei aware watching moviewhereas firs tonei drawn inand less aware watching movie people actinghaving said thatthere bright spotsforonethis movie touching firstand eugene levy great cameoand still fun hadeven though may seem high rating much said abovei still think father bride ii 710,Father of the Bride Part II,sadness
13,near quality fathers little dividend spencer tracy vehicle sequel original father bride father bride ii worst way away lazy weekend afternoon plot follows fairly predictable series events little way character development actors talented makes difference cant help find tearing every darn time watch schlockfesti rather amazed however reviewer commented unnecessarily negative portrayal mr habib cameo eugene levy arrogant misogynistic arab buys banks beloved home keaton martin well known liberal politics im surprised neither objected tired depiction southern california real estate trope,Father of the Bride Part II,sadness
14,well worth seeing everything goes perfectly aint thing much steve martin baby martin carries weak material positive movie shows joy new child brings laugh cry cheer thought cute bad dialog bit lost us audiences still hilarious lines music amazing throughout also scenery incredible saw cast lot great comedians thought would least laughs instead surprised see touching movie absolutely great script give 7 10,Father of the Bride Part II,sadness
15,movie warm funny family film enjoyed every minute real may disagree lot people may type situation loved martin short sequel love comedy made movie funny thing didnt like eugene levys character found part put extend movie bit also didnt like used second one clearly one auditioned wedding singer first one great family film many enjoy watch together,Father of the Bride Part II,sadness
16,father bride part ii opinion one hilarious heartwarming enchanting comedies ever seen ask alan silvestris score absolutely romantic addition thought performances superior directing excellent costumes perfectly designed casting perfect also surprised martin short sported accent kudos charles shyer everyone involved job well done conclusion fan steve martin diane keaton martin short liked father bride highly recommend movie youre feel good time see movie today youre good time go video store rent buy kick back friend watch,Father of the Bride Part II,sadness
17,let tell anyone like movie little close minded read comments thought movie unrealistic thats makes great mean look movies lord rings star wars neither contain true reality movie anyway loved steve martin movie magnificent job playing character protective dramatic father best actor could played part nina well diane keaton makes part mom annoyingly overwhelming mother exactly point us audience think martin short best franks way seeks george bankss approval perfect lastly kimberly williams gorgeous daughter expecting watch movie every night bed recite every word movie father bride ii dreamed meet steve martin hes hero hopefully fall love dream pregnant mother annie banks,Father of the Bride Part II,sadness
18,sometimes little far fetchedlike situation selling house time right mark steve martin wonderful diane keaton plays role perfect suporting case enjoyable good sequel father bride,Father of the Bride Part II,sadness
19,really enjoyed movie kind movie watch trust sister watch tons times never get sick funny steve martin george definitely helps kimberly williams great always diane keaton good love first one father bride,Father of the Bride Part II,sadness
20,seeing movie countless numbers times still laugh cry wonderful feeling end first time saw movie thought okbut didnt like much first movie years saw absolutely fell love become one favorite movies whenever im bad mood pop smile way finish steve martin funniest man watching character change hating idea grandpa new father never ceases amaze thing hated movie end want see character great job dream house want feel good movie leaves happy complete please dont miss,Father of the Bride Part II,sadness
21,movie hilarious even better first one steve martin martin short soo funny great movie eugene levy great mr habib haha 10 love scene going hospital hilarious hey man whats face huh supposed u problem loser problem anyone leave us alone leave u alone u tree haha good ur obviously comedian good nobody look themetc lol,Father of the Bride Part II,sadness
